cluster,ID,Source.Name,Capacity (MW),Plant name,Operator,Operator owners / investors,Capacity of plant,Fuels used,Status of project ,Expected operation start date,Status,Source.Name,Number,Lat,Lon,stack.heigth..m,base.elevation,diameter,exit.velocity,exit.temperature..K,downwash,SO2,SO4,NO,NO2,HNO3,NO3,PM15,PM10,PPM25,Hg0,RGM,Hgp
10,JP10,"Miyagi, Ishinomaki Hibarino No.1",149,石巻雲雀野発電所1号,日本製紙石巻エネルギーセンター株式会社,日本製紙（70%）、 三菱商事（30%）,14.9 [万kW],バイオマス混焼,試運転中,2018年3月,Planning (with official announcement),"Miyagi, Ishinomaki Hibarino No.1",1,38.4135,141.2918,96,35.76916498,3.1,21.9143,328.15,0,150.0657,0,667.7514,35.1448,0,0,NA,NA,51.4394,6.3002,12.3455,0.1134
11,JP11,"Fukuoka, ?Hibikinada Energy Park?",112,バイオマス混焼発電施設,響灘エネルギーパーク合同会社,オリックス株式会社、 ホクザイ運輸,11.2 [万kW],バイオマス混焼,建設中,2018年7月,Assessment completed,"Fukuoka, ?Hibikinada Energy Park?",1,33.9426,130.7903,80,5.830988046,3,21,328.15,0,156.1494,0,218.9792,11.5252,0,0,NA,NA,14.2079,5.2204,3.4099,0.094
11,JP44,"Fukuoka, Hibikinada thermal power plant (tentative)",112,響灘火力発電所,（株）響灘火力発電所,（株）IDIインフラストラクチャーズ,11.2 [万kW],バイオマス混焼,建設中,2019年2月,Assessment processing,"Fukuoka, Hibikinada thermal power plant (tentative)",1,33.9471,130.8306,80,10.44058071,3.2,18.4,323.15,0,156.1494,0,218.9792,11.5252,0,0,NA,NA,14.2079,2.7476,3.4099,0.0495
12,JP12,"Fukushima, Iwaki Energy Park",112,いわきエネルギーパーク,（株）エイブル,（株）エイブル,11.2 [万kW],バイオマス混焼,アセスメント完了,2018年4月,Assessment processing,"Fukushima, Iwaki Energy Park",1,37.0792,140.8416,59,313.0488517,3.1,20,324.15,0,263.6289,0,324.4136,17.0744,0,0,NA,NA,20.792,5.0931,4.9901,0.0917
13,JP13,"Akita, Nippon Paper Akita Power Plant",112,日本製紙秋田工場発電所,日本製紙,日本製紙,11.2 [万kW],バイオマス混焼,アセスメント完了,2018年11月,Assessment processing,"Akita, Nippon Paper Akita Power Plant",1,39.7417,140.0586,100,23.37726523,3.1,16.2,322.15,0,620.5418,0,551.5032,29.0265,0,0,NA,NA,44.287,4.931,10.6289,0.0888
13,JP37,"Akita, Akita Port No.1 (tentative)",650,秋田港発電所(仮) 1号機,関電エネルギーソリューション,関西電力、 丸紅,65.0 [万kW],石炭,"
アセスメント実施中",2024年3月,Assessment processing,"Akita, Akita Port No.1 (tentative)",1,39.7728,140.037,150,40.65196268,7.1667,33.1,363.15,0,973.399,0,594.7583,31.3031,0,0,NA,NA,62.376,13.4029,14.9703,0.2413
13,JP38,"Akita, Akita Port No.2 (tentative)",650,秋田港発電所(仮) 2号機,関電エネルギーソリューション,関西電力、 丸紅,65.0 [万kW],石炭,アセスメント実施中,2024年6月,Assessment processing,"Akita, Akita Port No.2 (tentative)",1,39.7804,140.0423,150,38.10924368,7.1667,33.1,363.15,0,973.399,0,594.7583,31.3031,0,0,NA,NA,62.376,13.4029,14.9703,0.2413
14,JP14,"Yamaguchi, Hofu Biomass-coal Power Plant",112,防府バイオマス・石炭混焼発電所,エア・ウォーター＆エネルギア・パワー山口株式会社,中国電力（49％）、 エア・ウォーター株式会社 (51%),11.2 [万kW],バイオマス混焼,建設中,2019年7月,Assessment processing,"Yamaguchi, Hofu Biomass-coal Power Plant",1,34.0423,131.5868,100,265.584093,3.3,23,428.15,0,1419.5401,0,635.3101,33.4374,0,0,NA,NA,29.1088,6.5049,6.9861,0.1171
15,JP16,"Mie, Kawajiri",112,発電所名不明,MC川尻エネルギーサービス株式会社,三菱商事,11.2 [万kW],石炭,アセスメント実施中,2019年,Assessment processing,"Mie, Kawajiri",1,34.9253,136.6104,87.7143,5.137808003,3.1,18.5429,323.8643,0,400.7866,0,430.3442,22.6497,0,0,NA,NA,28.7916,2.8999,6.91,0.0522
16,JP17,"Hiroshima, Kaita biomass blend firing power station",112,海田発電所,海田バイオマスパワー株式会社,広島ガス（50％）、中国電力（50％）,11.2 [万kW],バイオマス混焼,アセスメント完了,2021年,Assessment processing,"Hiroshima, Kaita biomass blend firing power station",1,34.3643,132.5228,59,309.1108199,3.1,23.8,418.15,0,1257.307,0,811.0341,42.686,0,0,NA,NA,27.0296,2.904,6.4871,0.0523
